"Time","A4261164",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 23/07/2016,       0.901,      1
09:00:00 24/07/2016,       0.936,      1
09:00:00 25/07/2016,       0.911,      1
09:00:00 26/07/2016,       0.964,      1
09:00:00 27/07/2016,       0.923,      1
09:00:00 28/07/2016,       1.013,      1
09:00:00 29/07/2016,       0.977,      1
09:00:00 30/07/2016,       0.961,      1
09:00:00 31/07/2016,       0.924,      1
09:00:00 01/08/2016,       0.926,      1
09:00:00 02/08/2016,       0.985,      1
09:00:00 03/08/2016,       1.060,      1
09:00:00 04/08/2016,       1.076,      1
09:00:00 05/08/2016,       1.079,      1
09:00:00 06/08/2016,       1.065,      1
09:00:00 07/08/2016,       1.039,      1
09:00:00 08/08/2016,       0.989,      1
09:00:00 09/08/2016,       0.947,      1
09:00:00 10/08/2016,       0.974,      1
09:00:00 11/08/2016,       1.020,    150
09:00:00 12/08/2016,       1.042,    150
09:00:00 13/08/2016,       1.032,    150
09:00:00 14/08/2016,       1.047,    150
09:00:00 15/08/2016,       1.048,    150
09:00:00 16/08/2016,       1.041,    150
09:00:00 17/08/2016,       1.034,    150
09:00:00 18/08/2016,       1.065,    150
09:00:00 19/08/2016,       1.052,    150
09:00:00 20/08/2016,       1.143,    150
09:00:00 21/08/2016,       1.174,    150
09:00:00 22/08/2016,       1.161,    150
09:00:00 23/08/2016,       1.185,    150
09:00:00 24/08/2016,       1.202,    150
09:00:00 25/08/2016,       1.217,    150
09:00:00 26/08/2016,       1.223,    150
09:00:00 27/08/2016,       1.218,    150
09:00:00 28/08/2016,       1.180,    150
09:00:00 29/08/2016,       1.137,    150
09:00:00 30/08/2016,       1.112,    150
09:00:00 31/08/2016,       1.118,    150
09:00:00 01/09/2016,       1.163,    150
09:00:00 02/09/2016,       1.174,    150
09:00:00 03/09/2016,"",    255
09:00:00 04/09/2016,"",    255
