Sample Point Name,sampleDate,dailyStage (m),dailyVolume (ML/day),qualityCode,Comments
LK7DS_620km,18/11/2015 09:00:01,19.252,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,19/11/2015 09:00:01,19.247,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,20/11/2015 09:00:01,19.239,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,21/11/2015 09:00:01,19.235,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,22/11/2015 09:00:01,19.226,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,23/11/2015 09:00:01,19.232,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,24/11/2015 09:00:01,19.241,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,25/11/2015 09:00:01,19.245,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,26/11/2015 09:00:01,19.219,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,27/11/2015 09:00:01,19.220,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,28/11/2015 09:00:01,19.234,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,29/11/2015 09:00:01,19.258,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,30/11/2015 09:00:01,19.249,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,01/12/2015 09:00:01,19.236,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,02/12/2015 09:00:01,19.249,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,03/12/2015 09:00:01,19.252,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,04/12/2015 09:00:01,19.269,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,05/12/2015 09:00:01,19.260,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,06/12/2015 09:00:01,19.235,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,07/12/2015 09:00:01,19.230,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,08/12/2015 09:00:01,19.237,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,09/12/2015 09:00:01,19.246,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,10/12/2015 09:00:01,19.256,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,11/12/2015 09:00:01,19.267,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,12/12/2015 09:00:01,19.266,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,13/12/2015 09:00:01,19.261,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,14/12/2015 09:00:01,19.265,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,15/12/2015 09:00:01,19.273,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,16/12/2015 09:00:01,19.279,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,17/12/2015 09:00:01,19.266,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,18/12/2015 09:00:01,19.267,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,19/12/2015 09:00:01,19.262,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,20/12/2015 09:00:01,19.259,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,21/12/2015 09:00:01,19.263,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,22/12/2015 09:00:01,19.281,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,23/12/2015 09:00:01,19.275,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,24/12/2015 09:00:01,19.271,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,25/12/2015 09:00:01,19.260,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,26/12/2015 09:00:01,19.252,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,27/12/2015 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,28/12/2015 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,29/12/2015 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,30/12/2015 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,31/12/2015 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,01/01/2016 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,02/01/2016 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,03/01/2016 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,04/01/2016 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,05/01/2016 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,06/01/2016 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,07/01/2016 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,08/01/2016 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,09/01/2016 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,10/01/2016 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,11/01/2016 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,12/01/2016 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,13/01/2016 09:00:01,0,0,5,No discharge at this sample point (5 Daily stage not calculated or not available)
LK7DS_620km,14/01/2016 09:00:01,19.291,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,15/01/2016 09:00:01,19.297,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,16/01/2016 09:00:01,19.296,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,17/01/2016 09:00:01,19.325,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,18/01/2016 09:00:01,19.322,0,5,No discharge at this sample point (1 Good)
