"Time","A4260517",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 01/06/2015,       6.242,    150
09:00:00 02/06/2015,       6.222,    150
09:00:00 03/06/2015,       6.218,    150
09:00:00 04/06/2015,       6.214,    150
09:00:00 05/06/2015,       6.243,    150
09:00:00 06/06/2015,       6.219,    150
09:00:00 07/06/2015,       6.213,    150
09:00:00 08/06/2015,       6.215,    150
09:00:00 09/06/2015,       6.226,    150
09:00:00 10/06/2015,       6.220,    150
09:00:00 11/06/2015,       6.207,    150
09:00:00 12/06/2015,       6.209,    150
09:00:00 13/06/2015,       6.207,    150
09:00:00 14/06/2015,       6.211,    150
09:00:00 15/06/2015,       6.222,    150
09:00:00 16/06/2015,       6.229,    150
09:00:00 17/06/2015,       6.236,    150
09:00:00 18/06/2015,       6.236,    150
09:00:00 19/06/2015,       6.236,    150
09:00:00 20/06/2015,       6.224,    150
09:00:00 21/06/2015,       6.217,    150
09:00:00 22/06/2015,       6.209,    150
09:00:00 23/06/2015,       6.203,    150
09:00:00 24/06/2015,       6.220,    150
09:00:00 25/06/2015,       6.226,    150
09:00:00 26/06/2015,       6.221,    150
09:00:00 27/06/2015,       6.214,    150
09:00:00 28/06/2015,       6.211,    150
09:00:00 29/06/2015,       6.206,    150
09:00:00 30/06/2015,       6.204,    150
09:00:00 01/07/2015,       6.205,    150
09:00:00 02/07/2015,       6.210,    150
09:00:00 03/07/2015,       6.243,    150
09:00:00 04/07/2015,       6.365,    150
09:00:00 05/07/2015,       6.371,    150
09:00:00 06/07/2015,       6.361,    150
09:00:00 07/07/2015,       6.372,    150
09:00:00 08/07/2015,       6.377,    150
09:00:00 09/07/2015,       6.401,    150
09:00:00 10/07/2015,       6.423,    150
09:00:00 11/07/2015,       6.469,    150
09:00:00 12/07/2015,       6.495,    150
09:00:00 13/07/2015,       6.497,    150
09:00:00 14/07/2015,       6.478,    150
09:00:00 15/07/2015,       6.484,    150
09:00:00 16/07/2015,       6.488,    150
09:00:00 17/07/2015,"",    255
09:00:00 18/07/2015,"",    255
